chapter_id,chapter_name,section_id,section_name,req_id,req_description,L
V1,Codificação e Sanitização,V1.1,Arquitetura de Codificação e Sanitização,V1.1.1,"Verificar que a entrada é decodificada ou sem escape para uma forma canônica apenas uma vez, e somente quando dados codificados nessa forma são esperados, e que isso é feito antes do processamento adicional da entrada — por exemplo, não após validação ou sanitização da entrada.",2
V1,Codificação e Sanitização,V1.1,Arquitetura de Codificação e Sanitização,V1.1.2,"Verificar que a aplicação realiza codificação e escape de saída como etapa final antes de ser usada pelo interpretador ao qual se destina, ou pelo próprio interpretador.",2
V1,Codificação e Sanitização,V1.2,Prevenção de Injeção,V1.2.1,"Verificar que a codificação de saída para uma resposta HTTP, documento HTML ou documento XML é adequada ao contexto exigido, como codificar os caracteres relevantes para elementos HTML, atributos HTML, comentários HTML, CSS ou campos de cabeçalho HTTP, a fim de evitar a alteração da estrutura da mensagem ou do documento.",1
V1,Codificação e Sanitização,V1.2,Prevenção de Injeção,V1.2.2,"Verificar que, ao construir URLs dinamicamente, dados não confiáveis são codificados conforme seu contexto (por exemplo, codificação de URL ou codificação base64url para parâmetros de consulta ou caminho). Garantir que apenas protocolos de URL seguros sejam permitidos (por exemplo, desabilitar javascript: ou data:).",1
V1,Codificação e Sanitização,V1.2,Prevenção de Injeção,V1.2.3,"Verificar que codificação ou escape de saída é usado ao construir dinamicamente conteúdo JavaScript (incluindo JSON), para evitar a alteração da estrutura da mensagem ou do documento (para evitar injeção de JavaScript e JSON).",1
V1,Codificação e Sanitização,V1.2,Prevenção de Injeção,V1.2.4,"Verificar que seleção de dados ou consultas a bancos de dados (por exemplo, SQL, HQL, NoSQL, Cypher) utilizam consultas parametrizadas, ORMs, frameworks de entidade ou são protegidas de outra forma contra ataques de Injeção de SQL e outras injeções em banco de dados. Isso também se aplica ao criar stored procedures.",1
V1,Codificação e Sanitização,V1.2,Prevenção de Injeção,V1.2.5,Verificar que a aplicação protege contra injeção de comandos do sistema operacional e que chamadas ao sistema operacional utilizam consultas de SO parametrizadas ou codificação contextual de saída da linha de comando.,1
V1,Codificação e Sanitização,V1.2,Prevenção de Injeção,V1.2.6,"Verificar que a aplicação protege contra vulnerabilidades de injeção de LDAP, ou que controles de segurança específicos para prevenir injeção de LDAP foram implementados.",2
V1,Codificação e Sanitização,V1.2,Prevenção de Injeção,V1.2.7,Verificar que a aplicação está protegida contra ataques de injeção de XPath por meio de parametrização de consultas ou consultas pré-compiladas.,2
V1,Codificação e Sanitização,V1.2,Prevenção de Injeção,V1.2.8,"Verificar que os processadores LaTeX estão configurados de forma segura (como não usar o sinalizador ""--shell-escape"") e que uma lista de permissões de comandos é utilizada para prevenir ataques de injeção de LaTeX.",2
V1,Codificação e Sanitização,V1.2,Prevenção de Injeção,V1.2.9,Verificar que a aplicação escapa caracteres especiais em expressões regulares (tipicamente usando barra invertida) para evitar que sejam interpretados como metacaracteres.,2
