chapter_id,chapter_name,section_id,section_name,req_id,req_description,level1,level2,level3,cwe,nist
V1,Codificação e Sanitização,V1.1,Arquitetura de Codificação e Sanitização,V1.1.1,"Verifique se a entrada é decodificada ou desescapada (unescaped) para uma forma canônica apenas uma vez, se é decodificada apenas quando os dados codificados nessa forma são esperados, e se isso é feito antes de processar a entrada posteriormente (por exemplo, não é realizado após a validação ou sanitização da entrada).",,✓,✓,,
V1,Codificação e Sanitização,V1.1,Arquitetura de Codificação e Sanitização,V1.1.2,"Verifique se a aplicação realiza a codificação e o escaping de saída como uma etapa final antes de ser usada pelo interpretador ao qual se destina, ou pelo próprio interpretador.",,✓,✓,,
V1,Codificação e Sanitização,V1.2,Prevenção de Injeção,V1.2.1,"Verifique se a codificação de saída para uma resposta HTTP, documento HTML ou documento XML é relevante para o contexto exigido, como codificar os caracteres relevantes para elementos HTML, atributos HTML, comentários HTML, CSS ou campos de cabeçalho HTTP, para evitar alterar a mensagem ou a estrutura do documento.",✓,✓,✓,,
V1,Codificação e Sanitização,V1.2,Prevenção de Injeção,V1.2.2,"Verifique se, ao construir URLs dinamicamente, os dados não confiáveis são codificados de acordo com seu contexto (por exemplo, codificação de URL ou codificação base64url para parâmetros de consulta ou de caminho). Garanta que apenas protocolos de URL seguros sejam permitidos (por exemplo, proibir javascript: ou data:).",✓,✓,✓,,
V1,Codificação e Sanitização,V1.2,Prevenção de Injeção,V1.2.3,"Verifique se a codificação ou escaping de saída é usado ao construir conteúdo JavaScript dinamicamente (incluindo JSON), para evitar a alteração da mensagem ou da estrutura do documento (para evitar a injeção de JavaScript e JSON).",✓,✓,✓,,
V1,Codificação e Sanitização,V1.2,Prevenção de Injeção,V1.2.4,"Verifique se a seleção de dados ou consultas a bancos de dados (por exemplo, SQL, HQL, NoSQL, Cypher) usam consultas parametrizadas, ORMs, entity frameworks ou são de outra forma protegidas contra injeção de SQL e outros ataques de injeção de banco de dados. Isso também é relevante ao escrever procedimentos armazenados (stored procedures).",✓,✓,✓,,
V1,Codificação e Sanitização,V1.2,Prevenção de Injeção,V1.2.5,Verifique se a aplicação protege contra injeção de comando no sistema operacional (OS) e se as chamadas de sistema operacional usam consultas de OS parametrizadas ou usam codificação de saída de linha de comando contextual.,✓,✓,✓,,
V1,Codificação e Sanitização,V1.2,Prevenção de Injeção,V1.2.6,"Verifique se a aplicação protege contra vulnerabilidades de injeção de LDAP, ou se controles de segurança específicos para prevenir a injeção de LDAP foram implementados.",,✓,✓,,
V1,Codificação e Sanitização,V1.2,Prevenção de Injeção,V1.2.7,Verifique se a aplicação é protegida contra ataques de injeção de XPath através do uso de parametrização de consultas ou consultas pré-compiladas.,,✓,✓,,
V1,Codificação e Sanitização,V1.2,Prevenção de Injeção,V1.2.8,"Verifique se os processadores LaTeX estão configurados com segurança (como não usar a flag ""--shell-escape"") e se uma lista de permissões (allowlist) de comandos é usada para evitar ataques de injeção LaTeX.",,✓,✓,,
