chapter_id,chapter_name,section_id,section_name,req_id,req_description,L
V1,Encoding dan Sanitization,V1.1,Arsitektur Encoding dan Sanitization,V1.1.1,"Verifikasi bahwa input di-decode atau di-unescape ke dalam bentuk kanonik hanya satu kali, hanya di-decode ketika data yang di-encode dalam bentuk tersebut memang diharapkan, dan hal ini dilakukan sebelum pemrosesan input lebih lanjut, misalnya tidak dilakukan setelah input validation atau sanitization.",2
V1,Encoding dan Sanitization,V1.1,Arsitektur Encoding dan Sanitization,V1.1.2,"Verifikasi bahwa aplikasi melakukan output encoding dan escaping baik sebagai langkah terakhir sebelum digunakan oleh interpreter yang dituju, atau dilakukan oleh interpreter itu sendiri.",2
V1,Encoding dan Sanitization,V1.2,Pencegahan Injection,V1.2.1,"Verifikasi bahwa output encoding untuk HTTP response, dokumen HTML, atau dokumen XML relevan dengan konteks yang dibutuhkan, seperti melakukan encoding pada karakter yang relevan untuk elemen HTML, atribut HTML, komentar HTML, CSS, atau HTTP header fields, guna menghindari perubahan pada struktur pesan atau dokumen.",1
V1,Encoding dan Sanitization,V1.2,Pencegahan Injection,V1.2.2,"Verifikasi bahwa ketika membangun URL secara dinamis, data tidak tepercaya di-encode sesuai dengan konteksnya (misalnya, URL encoding atau base64url encoding untuk parameter query atau path). Pastikan hanya protokol URL yang aman yang diizinkan (misalnya, larang javascript: atau data:).",1
V1,Encoding dan Sanitization,V1.2,Pencegahan Injection,V1.2.3,"Verifikasi bahwa output encoding atau escaping digunakan saat membangun konten JavaScript secara dinamis (termasuk JSON), guna menghindari perubahan pada struktur pesan atau dokumen (untuk menghindari JavaScript dan JSON injection).",1
V1,Encoding dan Sanitization,V1.2,Pencegahan Injection,V1.2.4,"Verifikasi bahwa pemilihan data atau query database (misalnya, SQL, HQL, NoSQL, Cypher) menggunakan parameterized queries, ORM, entity frameworks, atau dilindungi dengan cara lain dari SQL Injection dan serangan database injection lainnya. Hal ini juga relevan saat menulis stored procedures.",1
V1,Encoding dan Sanitization,V1.2,Pencegahan Injection,V1.2.5,Verifikasi bahwa aplikasi terlindungi dari OS command injection dan bahwa pemanggilan sistem operasi menggunakan parameterized OS queries atau menggunakan contextual command line output encoding.,1
V1,Encoding dan Sanitization,V1.2,Pencegahan Injection,V1.2.6,"Verifikasi bahwa aplikasi terlindungi dari kerentanan LDAP injection, atau bahwa kontrol keamanan khusus untuk mencegah LDAP injection telah diterapkan.",2
V1,Encoding dan Sanitization,V1.2,Pencegahan Injection,V1.2.7,Verifikasi bahwa aplikasi terlindungi dari serangan XPath injection dengan menggunakan query parameterization atau precompiled queries.,2
V1,Encoding dan Sanitization,V1.2,Pencegahan Injection,V1.2.8,"Verifikasi bahwa LaTeX processors dikonfigurasi secara aman (seperti tidak menggunakan flag ""--shell-escape"") dan sebuah allowlist perintah digunakan untuk mencegah serangan LaTeX injection.",2
V1,Encoding dan Sanitization,V1.2,Pencegahan Injection,V1.2.9,Verifikasi bahwa aplikasi melakukan escape terhadap karakter khusus dalam regular expressions (biasanya menggunakan backslash) untuk mencegah karakter tersebut disalahartikan sebagai metacharacters.,2
V1,Encoding dan Sanitization,V1.2,Pencegahan Injection,V1.2.10,"Verifikasi bahwa aplikasi terlindungi dari CSV and Formula Injection. Aplikasi harus mengikuti aturan escaping yang didefinisikan dalam RFC 4180 bagian 2.6 dan 2.7 saat mengekspor konten CSV. Selain itu, saat mengekspor ke CSV atau format spreadsheet lain (seperti XLS, XLSX, atau ODF), karakter khusus (termasuk '=', '+', '-', '@', '\t' (tab), dan '\0' (null character)) harus di-escape dengan tanda kutip tunggal jika muncul sebagai karakter pertama dalam nilai suatu field.",3
V1,Encoding dan Sanitization,V1.3,Sanitization,V1.3.1,Verifikasi bahwa semua input HTML tidak tepercaya dari WYSIWYG editor atau sejenisnya di-sanitize menggunakan pustaka atau fitur framework HTML sanitization yang terkenal dan aman.,1
V1,Encoding dan Sanitization,V1.3,Sanitization,V1.3.2,"Verifikasi bahwa aplikasi menghindari penggunaan eval() atau fitur dynamic code execution lainnya seperti Spring Expression Language (SpEL). Jika tidak ada alternatif lain, input pengguna yang disertakan harus di-sanitize sebelum dieksekusi.",1
V1,Encoding dan Sanitization,V1.3,Sanitization,V1.3.3,"Verifikasi bahwa data yang diteruskan ke konteks yang berpotensi berbahaya di-sanitize terlebih dahulu untuk menerapkan langkah-langkah keamanan, seperti hanya mengizinkan karakter yang aman untuk konteks tersebut dan memotong (trimming) input yang terlalu panjang.",2
V1,Encoding dan Sanitization,V1.3,Sanitization,V1.3.4,"Verifikasi bahwa konten Scalable Vector Graphics (SVG) scriptable yang disediakan pengguna divalidasi atau di-sanitize agar hanya berisi tag dan atribut (seperti untuk menggambar grafik) yang aman bagi aplikasi, misalnya, tidak mengandung script dan foreignObject.",2
V1,Encoding dan Sanitization,V1.3,Sanitization,V1.3.5,"Verifikasi bahwa aplikasi melakukan sanitize atau menonaktifkan konten scriptable atau expression template language yang disediakan pengguna, seperti Markdown, CSS atau XSL stylesheets, BBCode, atau sejenisnya.",2
V1,Encoding dan Sanitization,V1.3,Sanitization,V1.3.6,"Verifikasi bahwa aplikasi terlindungi dari serangan Server-side Request Forgery (SSRF), dengan memvalidasi data tidak tepercaya terhadap allowlist protokol, domain, path, dan port, serta melakukan sanitize terhadap karakter yang berpotensi berbahaya sebelum menggunakan data tersebut untuk memanggil layanan lain.",2
V1,Encoding dan Sanitization,V1.3,Sanitization,V1.3.7,"Verifikasi bahwa aplikasi terlindungi dari serangan template injection dengan tidak mengizinkan template dibangun berdasarkan input tidak tepercaya. Jika tidak ada alternatif lain, input tidak tepercaya yang disertakan secara dinamis selama pembuatan template harus di-sanitize atau divalidasi secara ketat.",2
