chapter_id,chapter_name,section_id,section_name,req_id,req_description,level1,level2,level3,cwe,nist
V1,Encoding and Sanitization,V1.1,ساختار Encoding and Sanitization,V1.1.1,ورودی فقط یک‌بار به فرم استاندارد decoded  یا unescaped شود، و این تنها زمانی انجام شود که انتظار می‌رود داده واقعاً در آن قالب رمزگذاری‌شده دریافت شده باشد. این فرآیند باید قبل از هرگونه پردازش بعدی روی ورودی انجام شود، و به‌هیچ‌وجه نباید پس از اعتبارسنجی یا پاک‌سازی انجام گیرد.,,✓,✓,,
V1,Encoding and Sanitization,V1.1,ساختار Encoding and Sanitization,V1.1.2,برنامه فرآیند encode و escape خروجی را به‌عنوان آخرین مرحله انجام می‌دهد؛ به‌گونه‌ای که این عملیات یا دقیقاً پیش از استفاده داده در مفسر مربوطه انجام شود، یا اینکه خود مفسر به‌طور داخلی این کار را انجام دهد.,,✓,✓,,
V1,Encoding and Sanitization,V1.2,پیشگیری از تزریق,V1.2.1,encoding خروجی برای پاسخ HTTP، سند HTML یا سند XML با زمینه‌ای که داده در آن استفاده می‌شود باید متناسب باشد؛ برای مثال، در رمزگذاری کاراکترهای مربوط به عناصر HTML، صفات HTML، توضیحات HTML، CSS یا فیلدهای هدر HTTP به‌گونه‌ای عمل شود که ساختار پیام یا سند تغییر نکند.,✓,✓,✓,,
V1,Encoding and Sanitization,V1.2,پیشگیری از تزریق,V1.2.2,هنگام ساخت پویا آدرس‌های URL، داده‌های غیرقابل‌اعتماد باید متناسب با زمینه استفاده‌شان رمزگذاری شوند (مثلاً URL   Encoding   یا base64url برای پارامترهای کوئری یا مسیر) همچنین اطمینان حاصل شود که فقط پروتکل‌های امن در URL مجاز باشند (برای نمونه، استفاده از JavaScript:  یا data:  ممنوع شود),✓,✓,✓,,
V1,Encoding and Sanitization,V1.2,پیشگیری از تزریق,V1.2.3,هنگام تولید پویا محتوای JavaScript (از جملهJSON)، از encoding یا escaping  خروجی استفاده شود تا از تغییر ساختار پیام یا سند جلوگیری گردد (و از حملات تزریق JavaScript یا JSON پیشگیری شود).,✓,✓,✓,,
V1,Encoding and Sanitization,V1.2,پیشگیری از تزریق,V1.2.4,در انتخاب داده یا اجرای کوئری‌های پایگاه داده (مانند SQL، HQL، NoSQL ...)، از parameterized queries، ORMها، یا Entity Framework استفاده شود یا به روش‌های دیگر، برنامه در برابر تزریق SQL و سایر حملات تزریقی پایگاه داده ایمن شده باشد. این موضوع هنگام نوشتن stored procedure‌ها نیز صدق می‌کند.,✓,✓,✓,,
V1,Encoding and Sanitization,V1.2,پیشگیری از تزریق,V1.2.5,برنامه در برابر تزریق دستورات سیستم‌عامل (OS command injection) محافظت شده است و در فراخوانی‌های سیستم‌عامل، از کوئری‌های پارامتری‌شده سیستم‌عامل یا Encoding خروجی دستورات سیستم‌عاملی استفاده می‌شود.,✓,✓,✓,,
V1,Encoding and Sanitization,V1.2,پیشگیری از تزریق,V1.2.6,برنامه در برابر آسیب‌پذیری‌های تزریق LDAP محافظت شده است، یا اینکه کنترل‌های امنیتی مشخصی برای جلوگیری از تزریق LDAP پیاده‌سازی شده‌اند.,,✓,✓,,
V1,Encoding and Sanitization,V1.2,پیشگیری از تزریق,V1.2.7,برنامه در برابر حملات تزریقXPath، به‌وسیله‌ی استفاده از کوئری‌های پارامتری‌شده یا کوئری‌های از پیش‌کامپایل‌شده محافظت شده باشد.,,✓,✓,,
V1,Encoding and Sanitization,V1.2,پیشگیری از تزریق,V1.2.8,پردازشگرهای LaTeX به‌صورت امن پیکربندی شده‌اند (برای نمونه با عدم استفاده از گزینه‌ی --shell-escape ) و از فهرست مجاز دستورات (allowlist) برای جلوگیری از حملات تزریق LaTeX استفاده شده است.,,✓,✓,,
